Shot#	Delay(mu~s)	Velocity(km/s)	Nozzle(mT)	DischargeV(kV)
1	0.551927933	47.10759948	0	2
2	0.365474759	71.14034369	0	2
3	0.426427659	60.97165476	0	2
4	0.455062506	57.13500812	0	2
5	0.39923082	65.12523251	0	2
7	0.435083761	59.75860821	0	2
8	0.423327525	61.41816548	0	2
9	0.320340915	81.1635316	0	2
11	0.584520041	44.4809385	0	2
12	0.408400419	63.66301016	133	2
13	0.416121336	62.48177577	133	2
14	0.687680895	37.80823371	133	2
15	0.690205278	37.66995245	133	2
16	0.722618353	35.98026521	133	2
18	0.677583364	38.37166228	133	2
19	0.698081352	37.24494275	133	2
20	0.636688362	40.83630478	133	2
22	0.635123245	40.93693661	133	2
23	0.564844427	46.03037363	133	2
24	0.616082694	42.20212687	133	2
25	0.439604116	59.14412316	67	2
27	0.392086749	66.31185598	67	2
28	0.423655695	61.37059009	67	2
29	0.423784309	61.35196484	67	2
30	0.367933946	70.66485784	67	2
32	0.383551256	67.78755014	67	2
33	0.320112695	81.2213962	67	2
34	0.280240581	92.77742685	67	2
35	0.392030925	66.32129854	67	2
36	0.384072141	67.69561557	67	2
37	0.279886552	92.89478128	0	2
38	0.551954066	47.1053691	0	2
40	0.543150366	47.86888054	0	2
41	0.600002307	43.33316674	0	2
42	0.490474125	53.00993202	0	2
43	0.312067781	83.31523344	0	2
44	0.573364527	45.34637006	0	2
45	0.304207749	85.46790837	0	2
46	0.448688337	57.94668113	0	2
47	0.383762442	67.75024635	0	2
48	0.410600223	63.32193342	0	2
49	0.296694631	87.63218896	0	2
50	0.572686022	45.40009537	0	2
51	0.373753572	69.56455252	0	2
52	0.392012864	66.32435407	0	2
53	0.432077077	60.17444889	0	2
54	0.359928164	72.23663671	0	2
55	0.258331401	100.6459142	0	2
56	0.422027468	61.60736436	0	2
57	0.311379151	83.49948902	0	2
58	0.36485461	71.2612622	100	2
59	0.388167456	66.98140093	100	2
60	0.446630042	58.21372854	100	2
61	0.415912407	62.51316274	100	2
62	0.392044881	66.31893765	100	2
63	0.476528175	54.56130689	100	2
64	0.431492057	60.25603392	100	2
65	0.455974568	57.02072402	100	2
66	0.351861632	73.89268297	100	2
67	0.439996661	59.09135747	100	2
68	0.360004613	72.2212967	100	2
69	0.376065503	69.13689179	100	2
70	0.420505963	61.83027658	100	2
71	0.372985722	69.70776217	100	2
72	0.439936322	59.09946207	100	2
73	0.400155846	64.97468491	100	2
75	0.287882278	90.31469463	100	2
76	0.43197446	60.18874356	100	2
77	0.474844227	54.75479857	100	2
78	0.395704825	65.70554195	100	2
79	0.407940967	63.73471185	100	2
80	0.383954747	67.71631348	100	2
81	0.396322376	65.60315945	100	2
82	0.375960252	69.15624684	100	2
83	0.335991063	77.38301072	100	2
84	0.400088666	64.985595	100	2
85	0.390180121	66.63589094	100	2
86	0.419921763	61.91629552	100	2
87	0.389284889	66.78913245	100	2
88	0.39209359	66.31069899	100	2
90	0.704166688	36.92307578	124	2
91	0.536202122	48.48917771	124	2
92	0.636836952	40.82677667	124	2
93	0.425851908	61.0540883	124	2
94	0.708977177	36.67254863	124	2
95	0.534367669	48.65563825	124	2
96	0.584152261	44.50894353	124	2
97	0.567387349	45.82407424	124	2
98	0.587455372	44.25868119	124	2
99	0.599876703	43.34223993	124	2
100	0.47094279	55.20840441	0	3.5
101	0.456210861	56.99119029	0	3.5
102	0.367689307	70.71187418	0	3.5
104	0.640757749	40.57695757	0	3.5
105	0.552080593	47.09457339	0	3.5
107	0.497260062	52.28652362	0	3.5
108	0.552028224	47.09904109	0	3.5
114	0.509407269	51.03971137	0	3.5
115	0.437893214	59.37520646	0	3.5
116	0.752180108	34.56618931	0	3.5
117	0.559878986	46.43860663	0	3.5
118	0.689700401	37.69752772	0	3.5
121	0.335513482	77.49316012	0	3.5
122	0.566448128	45.90005459	0	3.5
123	0.278553691	93.33927649	0	3.5
135	0.47868122	54.31589728	0	3.5
136	0.728487851	35.69036869	0	3.5
137	0.343048731	75.79098148	0	3.5
138	0.346229179	75.09476826	0	3.5
139	0.792498367	32.80763859	0	3.5
140	0.503851643	51.60249122	0	3.5
141	0.512025718	50.77869936	0	3.5
143	0.352104492	73.8417162	0	3.5
