Shot#	Delay(mu~s)	Velocity(km/s)	Nozzle(mT)	DischargeV(kV)
4	0.25712216	101.1192501	124	3.5
5	0.235917344	110.2080905	124	3.5
6	0.31757032	81.87163093	124	3.5
7	0.395610623	65.72118771	124	3.5
8	0.269978041	96.3041286	124	3.5
9	0.287825223	90.33259757	124	3.5
10	0.236594412	109.8927052	124	3.5
11	0.336622364	77.23788677	124	3.5
12	0.382533499	67.96790368	124	3.5
15	0.339518015	76.57914697	124	3.5
16	0.25732411	101.0398907	124	3.5
17	0.367993054	70.65350756	124	3.5
20	0.278125025	93.48313766	124	3.5
21	0.220569097	117.876894	124	3.5
22	0.268279932	96.91369686	124	3.5
23	0.332853645	78.1124089	124	3.5
25	0.361530634	71.91645072	124	3.5
26	0.403435389	64.44650305	124	3.5
27	0.281659161	92.31015214	124	3.5
28	0.30215715	86.0479391	124	3.5
29	0.329016583	79.02337255	124	3.5
30	0.284133056	91.50642433	124	3.5
31	0.35994058	72.23414481	124	3.5
32	0.335779466	77.43177482	124	3.5
33	0.304046161	85.513331	124	3.5
34	0.368013748	70.64953451	124	3.5
35	0.407987282	63.72747671	124	3.5
36	0.312000601	83.3331729	124	3.5
37	0.351982583	73.86729129	124	3.5
38	0.320010146	81.24742398	124	3.5
39	0.386269585	67.31050278	124	3.5
40	0.375991037	69.15058451	124	3.5
41	0.464077495	56.02512574	124	3.5
42	0.219054467	118.6919417	124	3.5
43	0.371839967	69.92255357	124	3.5
44	0.311978333	83.33912093	124	3.5
45	0.447973916	58.03909347	124	3.5
46	0.324892193	80.02654596	124	3.5
47	0.343850103	75.61434417	124	3.5
48	0.349211645	74.45341626	124	3.5
49	0.356027479	73.02807094	124	3.5
50	0.324674644	80.0801678	124	3.5
51	0.318410891	81.65549835	124	3.5
52	0.432006579	60.1842686	124	3.5
53	0.456649379	56.93646202	124	3.5
54	0.335176077	77.57116868	124	3.5
55	0.361126732	71.99688549	124	3.5
56	0.337448021	77.04890338	124	3.5
57	0.300137643	86.62692129	124	3.5
58	0.334620713	77.69991221	124	3.5
59	0.285698173	91.00513203	124	3.5
60	0.295240341	88.06384639	124	3.5
61	0.316098515	82.25283805	124	3.5
62	0.26681579	97.44550728	133	3.5
63	0.360049252	72.21234279	133	3.5
64	0.40109387	64.82273096	133	3.5
65	0.303772755	85.59029607	133	3.5
66	0.237129048	109.644939	133	3.5
67	0.328814632	79.07190695	133	3.5
68	0.125450352	207.2533052	133	3.5
69	0.320736607	81.06340038	133	3.5
70	0.35966259	72.28997593	133	3.5
71	0.433425057	59.98730254	133	3.5
72	0.307458353	84.56429857	133	3.5
73	0.296855946	87.58456883	133	3.5
74	0.331036089	78.54128555	133	3.5
75	0.519941608	50.00561525	133	3.5
76	0.283274766	91.78367833	133	3.5
77	0.384956906	67.5400274	133	3.5
78	0.286051587	90.89269619	133	3.5
80	0.384098616	67.69094943	133	3.5
81	0.388844456	66.86478259	133	3.5
82	0.33037975	78.69731736	133	3.5
83	0.448028714	58.03199481	133	3.5
84	0.209057911	124.3674535	133	3.5
85	0.313314922	82.98359958	133	3.5
86	0.407777327	63.76028846	133	3.5
87	0.40404124	64.34986678	133	3.5
88	0.325886348	79.78241541	133	3.5
90	0.370719387	70.13390964	133	3.5
91	0.369103782	70.44089294	133	3.5
92	0.468867392	55.45277934	133	3.5
93	0.311244928	83.53549788	133	3.5
94	0.438170896	59.3375786	133	3.5
95	0.393943709	65.99927704	133	3.5
