Shot#	Delay(mu~s)	Velocity(km/s)	Nozzle(mT)	DischargeV(kV)
4	0.2563866	101.4093561	124	3.5
5	0.335986342	77.3840979	124	3.5
6	0.296018179	87.8324436	124	3.5
7	0.375698099	69.20450233	124	3.5
8	0.112004627	232.1332679	124	3.5
9	0.147514278	176.2541246	124	3.5
10	0.19997629	130.0154135	124	3.5
11	0.168015688	154.7474547	124	3.5
12	0.291310102	89.25196825	124	3.5
15	0.183975431	141.3232183	124	3.5
16	0.296299487	87.74905513	124	3.5
17	0.215911918	120.4194758	124	3.5
20	0.119914941	216.8203544	124	3.5
21	0.152029845	171.019052	124	3.5
22	0.216133982	120.2957527	124	3.5
23	0.146142902	177.9080584	124	3.5
25	0.267280372	97.27612915	124	3.5
26	0.287922367	90.30211958	124	3.5
27	0.247931354	104.8677369	124	3.5
28	0.228123637	113.9732837	124	3.5
29	0.183939686	141.3506817	124	3.5
30	0.152006756	171.0450288	124	3.5
31	0.209401473	124.1634054	124	3.5
32	0.221019381	117.6367426	124	3.5
33	0.18402219	141.2873087	124	3.5
34	0.232000241	112.0688492	124	3.5
35	0.191940132	135.4589041	124	3.5
36	0.208009847	124.9940824	124	3.5
37	0.19192604	135.4688506	124	3.5
38	0.197142824	131.8840802	124	3.5
39	0.231992031	112.0728149	124	3.5
40	0.231763948	112.1831081	124	3.5
41	0.223900529	116.1229948	124	3.5
42	0.163410365	159.1086343	124	3.5
43	0.31197693	83.33949556	124	3.5
44	0.287973812	90.28598745	124	3.5
45	0.193584744	134.3081044	124	3.5
46	0.18815479	138.1840986	124	3.5
47	0.159845991	162.656566	124	3.5
48	0.239717874	108.4608316	124	3.5
49	0.219559343	118.4190096	124	3.5
50	0.157736182	164.8321882	124	3.5
51	0.182905305	142.1500598	124	3.5
52	0.247752526	104.9434303	124	3.5
53	0.20011667	129.9242087	124	3.5
54	0.14786605	175.8348179	124	3.5
55	0.240034654	108.3176934	124	3.5
56	0.231724406	112.2022512	124	3.5
57	0.119831445	216.9714305	124	3.5
58	0.271701189	95.69336113	124	3.5
59	0.191994177	135.4207734	124	3.5
60	0.184235326	141.123858	124	3.5
61	0.591878309	43.9279487	124	3.5
62	0.216245886	120.233501	133	3.5
63	0.21156933	122.8911583	133	3.5
64	0.17608938	147.652289	133	3.5
65	0.175984573	147.7402225	133	3.5
66	0.215082903	120.8836204	133	3.5
67	0.212465601	122.3727506	133	3.5
68	0.239474064	108.5712563	133	3.5
69	0.17590065	147.8107098	133	3.5
70	0.236405636	109.9804575	133	3.5
71	0.231594883	112.2650018	133	3.5
72	0.203536939	127.7409404	133	3.5
73	0.122679619	211.9341432	133	3.5
74	0.247614237	105.00204	133	3.5
75	0.287379075	90.47283631	133	3.5
76	0.175463863	148.1786594	133	3.5
77	0.236035374	110.1529806	133	3.5
78	0.159422808	163.0883326	133	3.5
80	0.208517527	124.6897579	133	3.5
81	0.248169475	104.7671154	133	3.5
82	0.256635608	101.3109608	133	3.5
83	0.127820796	203.40978	133	3.5
84	0.159653274	162.8529082	133	3.5
85	0.139010172	187.0366719	133	3.5
86	0.201239999	129.1989669	133	3.5
87	0.198450264	131.0151948	133	3.5
88	0.24648704	105.4822194	133	3.5
90	0.103963041	250.088875	133	3.5
91	0.188648304	137.8226012	133	3.5
92	0.268555083	96.81440293	133	3.5
93	0.266433233	97.58542394	133	3.5
94	0.17805849	146.0194347	133	3.5
95	0.236560138	109.908627	133	3.5
