Shot#	Delay(mu~s)	Velocity(km/s)	Nozzle(mT)	DischargeV(kV)
3	0.423993716	61.32166354	110	3.5
4	0.423969635	61.32514652	110	3.5
5	0.248561971	104.6016811	110	3.5
6	0.263845638	98.5424667	110	3.5
7	0.288030457	90.26823162	110	3.5
8	0.264049573	98.46635897	110	3.5
9	0.279971313	92.86665723	110	3.5
10	0.256013073	101.5573137	110	3.5
11	0.287978738	90.28444319	110	3.5
12	0.199975263	130.0160807	110	3.5
13	0.287986126	90.2821269	110	3.5
14	0.320147516	81.21256201	110	3.5
19	0.147499912	176.2712916	110	3.5
20	0.307075797	84.66964928	110	3.5
21	0.194315002	133.8033591	110	3.5
22	0.236269253	110.0439423	110	3.5
23	0.201148999	129.2574169	110	3.5
24	0.253837863	102.427588	110	3.5
25	0.232099574	112.0208862	110	3.5
26	0.295872052	87.87582276	110	3.5
27	0.28817761	90.22213767	110	3.5
28	0.176088069	147.6533884	110	3.5
29	0.30149219	86.23772306	110	3.5
30	0.231999009	112.069444	110	3.5
31	0.196523016	132.3000253	110	3.5
32	0.279930267	92.8802745	110	3.5
36	0.29602803	87.82952071	110	3.5
37	0.223932067	116.1066405	110	3.5
39	0.328037683	79.25918676	110	3.5
40	0.247865269	104.8956966	110	3.5
41	0.222370986	116.9217283	110	3.5
43	0.33666967	77.22703382	110	3.5
44	0.384047855	67.69989644	110	3.5
46	0.239696804	108.470366	110	3.5
47	0.236396361	109.9847725	110	3.5
48	0.200127205	129.9173691	110	3.5
49	0.263901941	98.52144298	110	3.5
50	0.236577412	109.900602	110	3.5
51	0.257520041	100.963016	110	3.5
